_step,_runtime,_timestamp,Training/Update/machine_actor_loss,Training/Update/job_actor_loss,Training/Update/global_critic_loss,Evaluation/100instances/mk_eval_std,Evaluation/100instances/pt_eval_std,Evaluation/100instances/transT_eval_std,Evaluation/100instances/idleT_eval_mean,Evaluation/100instances/transT_eval_mean,Evaluation/100instances/obj_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/pt_eval_mean,Evaluation/100instances/obj_eval_mean
39,717.588385348,1746508555.4611704,0.06480847299098969,0.13019755482673645,0.4939389228820801,67.24167491139993,76.86184852683374,40.02059025750104,720.8276658046894,275.1210265878244,103.13123454664624,570.2582784855526,181.23783445475954,521.7632782974011,780.1638943526223
40,723.120119649,1746508560.9932554,,,,,,,,,,,,,
41,727.479566908,1746508565.3526762,,,,,,,,,,,,,
42,731.579523098,1746508569.4526606,,,,,,,,,,,,,
43,735.508520524,1746508573.3817475,,,,,,,,,,,,,
44,776.253435895,1746508614.1263087,0.09795936197042465,0.131937175989151,0.553541362285614,,,,,,,,,,
45,782.837074098,1746508620.7102323,,,,,,,,,,,,,
46,787.060771381,1746508624.9338343,,,,,,,,,,,,,
47,791.205774956,1746508629.0790253,,,,,,,,,,,,,
48,795.607730196,1746508633.480919,,,,,,,,,,,,,
49,889.630058771,1746508727.5029607,0.14617657661437988,0.23726820945739746,0.6467315554618835,82.09922233038643,78.1614124925724,41.75634089449531,765.9258392550272,255.81084686054922,131.68391213486655,659.6295200081702,262.25948130233235,524.8375158574303,831.3193194203609
50,895.337491418,1746508733.2107077,,,,,,,,,,,,,
51,899.326307846,1746508737.1993473,,,,,,,,,,,,,
52,902.843114915,1746508740.7162483,,,,,,,,,,,,,
53,907.102625804,1746508744.9757135,,,,,,,,,,,,,
54,947.513084729,1746508785.3860347,0.0032563190907239914,0.05106084421277046,0.5506232976913452,,,,,,,,,,
55,953.669286294,1746508791.5422966,,,,,,,,,,,,,
56,957.176098578,1746508795.0468035,,,,,,,,,,,,,
57,960.88956707,1746508798.762797,,,,,,,,,,,,,
58,964.598828729,1746508802.4719875,,,,,,,,,,,,,
59,1057.013998984,1746508894.886803,0.015889868140220642,0.1129690408706665,0.5297608971595764,60.77766643130052,76.14077303680676,38.004733913511565,739.3742565119205,265.2667553791364,104.6105565679994,590.0523487090948,195.00432553955943,525.1886768819727,794.8994639170222
60,1062.136358642,1746508900.0096607,,,,,,,,,,,,,
61,1065.648492391,1746508903.52191,,,,,,,,,,,,,
62,1070.061381539,1746508907.9347336,,,,,,,,,,,,,
63,1073.543052308,1746508911.416358,,,,,,,,,,,,,
64,1113.75133558,1746508951.6242332,0.09347843378782272,0.14916859567165375,0.5562887191772461,,,,,,,,,,
65,1120.586563907,1746508958.459634,,,,,,,,,,,,,
66,1124.237762938,1746508962.1109352,,,,,,,,,,,,,
67,1127.886430867,1746508965.7595634,,,,,,,,,,,,,
68,1131.888909318,1746508969.7621086,,,,,,,,,,,,,
69,1225.955848034,1746509063.8285043,0.04321754723787308,0.15410013496875763,0.5285946726799011,58.84764733441906,76.38866826650985,35.80464031330304,687.3585813591432,267.72089235420356,97.58771197134712,555.0498874969568,185.26099278293302,524.2463200275306,760.2060940242932
70,1232.087401433,1746509069.9605043,,,,,,,,,,,,,
