Evaluation/100instances/transT_eval_mean,_timestamp,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/pt_eval_std,Evaluation/100instances/idleT_eval_mean,Training/Update/global_critic_loss,Evaluation/100instances/obj_eval_std,_step,Evaluation/100instances/transT_eval_std,Evaluation/100instances/mk_eval_std,Evaluation/100instances/obj_eval_mean,_runtime,Training/Update/job_actor_loss,Training/Update/machine_actor_loss,Evaluation/100instances/pt_eval_mean
,1746616683.1538382,,,,,,,1126,,,,18373.552339764,,,
,1746616687.4996252,,,,,,,1127,,,,18377.898291836,,,
,1746616691.5161986,,,,,,,1128,,,,18381.914851772,,,
269.0180020240482,1746616781.4183214,157.14336904180246,503.30736812735574,76.50766847930386,696.3876963374823,0.46046963334083557,91.64449565384803,1129,37.91320938343789,55.96217473669629,743.5076665499747,18471.817387923,0.09484713524580002,0.047970231622457504,524.565100898074
,1746616788.631946,,,,,,,1130,,,,18479.030556048,,,
,1746616792.020622,,,,,,,1131,,,,18482.419182393,,,
,1746616796.059364,,,,,,,1132,,,,18486.458166629,,,
,1746616800.3847094,,,,,,,1133,,,,18490.783327387,,,
,1746616838.6314385,,,,,0.5419997572898865,,1134,,,,18529.030525226,0.14460909366607666,0.14578789472579956,
,1746616846.1340954,,,,,,,1135,,,,18536.532756404,,,
,1746616849.7133539,,,,,,,1136,,,,18540.111978879,,,
,1746616853.3914711,,,,,,,1137,,,,18543.790186425,,,
,1746616857.446901,,,,,,,1138,,,,18547.845532411,,,
276.1788525720769,1746616948.8956347,172.89052374895542,504.5135684164182,74.54211836992906,712.0747715786175,0.521718442440033,99.0643118675885,1139,42.289315404653,56.22948876345058,752.1966977272713,18639.294560703,0.17892754077911377,0.15869276225566864,525.813978037104
,1746616956.2316208,,,,,,,1140,,,,18646.630373786,,,
,1746616959.9643564,,,,,,,1141,,,,18650.362915123,,,
,1746616963.3032143,,,,,,,1142,,,,18653.701790278,,,
,1746616966.8814757,,,,,,,1143,,,,18657.281388949,,,
,1746617004.3930051,,,,,0.49448728561401367,,1144,,,,18694.791862183,0.07716674357652664,0.06556861102581024,
,1746617012.0106475,,,,,,,1145,,,,18702.409339786,,,
,1746617015.8977654,,,,,,,1146,,,,18706.29635362,,,
,1746617019.5805614,,,,,,,1147,,,,18709.979073082,,,
,1746617023.1598654,,,,,,,1148,,,,18713.55855469,,,
272.4162474465717,1746617113.8264115,202.5840766711455,511.20308867126516,76.28783053364539,747.1105309820778,0.5058817863464355,112.8539737411169,1149,37.32127742027855,57.13482503886692,767.9612006172008,18804.22545372,0.09403174370527267,0.014209004119038582,525.3812581663734
,1746617121.570245,,,,,,,1150,,,,18811.968815979,,,
,1746617125.7014682,,,,,,,1151,,,,18816.100013408,,,
,1746617129.4030275,,,,,,,1152,,,,18819.801682462,,,
,1746617133.3382354,,,,,,,1153,,,,18823.736757806,,,
,1746617170.1130657,,,,,0.564448893070221,,1154,,,,18860.511796663,0.17001117765903473,0.15278120338916779,
,1746617177.7647204,,,,,,,1155,,,,18868.163326605,,,
,1746617181.599626,,,,,,,1156,,,,18871.998215615,,,
,1746617185.590713,,,,,,,1157,,,,18875.989360065,,,
,1746617189.1694512,,,,,,,1158,,,,18879.568006133,,,
276.0977370203318,1746617279.5339775,188.6472166181784,531.510953426638,76.7095964530006,827.1337640162122,0.6579151749610901,104.6882797253172,1159,41.48552012434065,59.67191494153105,809.0176726217126,18969.933040126,0.2090870887041092,0.11665794998407364,525.8505956012651
,1746617287.4143176,,,,,,,1160,,,,18977.813043269,,,
,1746617291.6251323,,,,,,,1161,,,,18982.02390126,,,
,1746617296.146927,,,,,,,1162,,,,18986.545537661,,,
